epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
48,0.00029420862,3.6837325,3.6837325,,,,,,,,,,,,,,,,,,,,,,,,,,0.63543744,,,,,,,0.74987119,0.85362541,0.82475245,0.89155742,0.98158224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0002939442,3.684059,3.684059,,,,,,,,,,,,,,,,,,,,,,,,,,0.62903471,,,,,,,0.72263424,0.83304117,0.90127282,0.7792819,0.98045293,3.2476994,3.2476994,,,,,,,,,,,,,,,,,,,,,,,,,,0.56611701,,,,,,,0.77312439,0.86157719,0.86414164,0.86974461,0.98311069
50,0.000293674,3.7281737,3.7281737,,,,,,,,,,,,,,,,,,,,,,,,,,0.64098475,,,,,,,0.73022599,0.83944649,0.8062028,0.88082696,0.9801086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00029339803,3.5327217,3.5327217,,,,,,,,,,,,,,,,,,,,,,,,,,0.6178635,,,,,,,0.77863052,0.87194627,0.87979266,0.87172021,0.98224129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0002931163,3.5858583,3.5858583,,,,,,,,,,,,,,,,,,,,,,,,,,0.61789184,,,,,,,0.76247459,0.86027089,0.86326645,0.86173231,0.98275547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00029282883,3.5787886,3.5787886,,,,,,,,,,,,,,,,,,,,,,,,,,0.62546073,,,,,,,0.76512963,0.86396634,0.86842748,0.86761645,0.97965907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00029253563,3.6873777,3.6873777,,,,,,,,,,,,,,,,,,,,,,,,,,0.62915737,,,,,,,0.71941446,0.82513663,0.84910629,0.82102065,0.98126721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00029223671,3.6204454,3.6204454,,,,,,,,,,,,,,,,,,,,,,,,,,0.62792899,,,,,,,0.75785399,0.85724079,0.87265122,0.84657141,0.97920477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00029193208,3.7092052,3.7092052,,,,,,,,,,,,,,,,,,,,,,,,,,0.63258326,,,,,,,0.71433345,0.82204936,0.828586,0.82663473,0.98042587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00029162175,3.5576033,3.5576033,,,,,,,,,,,,,,,,,,,,,,,,,,0.61726288,,,,,,,0.76655535,0.86182784,0.86612303,0.86188634,0.98272805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00029130573,3.4555731,3.4555731,,,,,,,,,,,,,,,,,,,,,,,,,,0.60492257,,,,,,,0.77788362,0.87149254,0.8855599,0.86081434,0.98608609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
