epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
46,9.9690175e-06,1.2058185,1.2058185,,,,,,,,,,,,,,,,,,,,,1.2058185,,0.45109068,,0.75472777,0,,,0.55450769,0.70010109,0.57797941,0.90889047,0.94984493,1,-0.0033037347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9.9673222e-06,1.1674472,1.1674472,,,,,,,,,,,,,,,,,,,,,1.1674472,,0.43667762,,0.73076955,0,,,0.56716207,0.70280755,0.58522598,0.94093981,0.94799824,1,-0.0034130294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9.9655819e-06,1.1653672,1.1653672,,,,,,,,,,,,,,,,,,,,,1.1653672,,0.43172087,,0.7336463,0,,,0.58888881,0.73062268,0.61845804,0.92823122,0.95190808,1,-0.0035615798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9.9637967e-06,1.1752356,1.1752356,,,,,,,,,,,,,,,,,,,,,1.1752356,,0.43861897,,0.73661663,0,,,0.5656763,0.71159885,0.58639759,0.93877728,0.94961084,1,-0.0035575051,1.189394,1.189394,,,,,,,,,,,,,,,,,,,,,1.189394,,0.43244117,,0.75695278,0,,,0.54401386,0.67673389,0.57044239,0.93406941,0.95677176,1,-0.003533327
50,9.9619664e-06,1.1888018,1.1888018,,,,,,,,,,,,,,,,,,,,,1.1888018,,0.44213686,,0.7466649,0,,,0.55089698,0.69182342,0.58151948,0.90890936,0.95040159,1,-0.0035562578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9.9600913e-06,1.1682618,1.1682618,,,,,,,,,,,,,,,,,,,,,1.1682618,,0.43515195,,0.73310989,0,,,0.5786861,0.72532749,0.59857905,0.94033331,0.95268482,1,-0.0035275879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9.9581713e-06,1.1453114,1.1453114,,,,,,,,,,,,,,,,,,,,,1.1453114,,0.42486441,,0.72044701,0,,,0.60612171,0.74469891,0.63919385,0.9246298,0.95726484,1,-0.0034334651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9.9562063e-06,1.1288579,1.1288579,,,,,,,,,,,,,,,,,,,,,1.1288579,,0.42168452,,0.70717338,0,,,0.62646031,0.76398677,0.66260807,0.91858883,0.95522092,1,-0.0033540082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9.9541965e-06,1.1933768,1.1933768,,,,,,,,,,,,,,,,,,,,,1.1933768,,0.44407761,,0.7492992,0,,,0.50804594,0.65403855,0.52828093,0.91955233,0.94328464,1,-0.0033696173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9.9521418e-06,1.1282159,1.1282159,,,,,,,,,,,,,,,,,,,,,1.1282159,,0.42108297,,0.7071329,0,,,0.59544466,0.73746262,0.62786705,0.92495876,0.95112527,1,-0.0034422289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
