# model=B31DINOv3IMLNoGateStABRMRVideoModel tfcu= lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=312610691 params_trainable=9456515
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
50,9.7905437e-05,0.47772881,0.47772881,,0.42094735,0.056781457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7212767,0.83033691,0.8525021,0.82079094,0.97952011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9.7814063e-05,0.51333417,0.51333417,,0.4602211,0.053113066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78293281,0.87530906,0.88754472,0.86782415,0.98133879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9.7720783e-05,0.51617103,0.51617103,,0.46068229,0.055488745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74729293,0.85089236,0.84312344,0.86825838,0.98025123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9.7625601e-05,0.49477048,0.49477048,,0.44049793,0.054272549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77201221,0.86631517,0.87357189,0.86394683,0.98234394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9.752852e-05,0.47262748,0.47262748,,0.4236549,0.048972571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75315551,0.85283997,0.85463337,0.85466304,0.98363814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9.7429546e-05,0.45637777,0.45637777,,0.4067171,0.04966068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76299418,0.85926008,0.86025279,0.86032246,0.98330521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9.7328681e-05,0.46807609,0.46807609,,0.42016532,0.047910767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75733241,0.85720636,0.86539206,0.85561501,0.98382693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9.7225929e-05,0.47871025,0.47871025,,0.43029688,0.048413375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77006784,0.85820588,0.88285024,0.84882021,0.983001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9.7121296e-05,0.40717536,0.40717536,,0.36838597,0.038789387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78674948,0.87618065,0.87406269,0.88293164,0.98670418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9.7014785e-05,0.47654158,0.47654158,,0.42960722,0.046934359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76378134,0.85883094,0.85375972,0.86770807,0.98434041,0.62041208,0.62041208,,0.56652332,0.053888761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73960946,0.83854658,0.8750248,0.81901503,0.97967238
