# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_forensic_gated_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.03*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318326648 params_trainable=15021176
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
78,9.892558e-06,0.22780401,0.17423562,0.053568392,0.054816505,0.18391224,0.19980516,0.16448487,0.048659373,0.051384647,0.11985902,0.11169608,0.81872925,0.89272511,0.8761117,0.91401569,0.98630604,,,,,,
79,9.889434e-06,0.23970214,0.1835984,0.056103744,0.05407726,0.19294982,0.21371285,0.1731857,0.04989868,0.050671259,0.12715924,0.11944564,0.80765885,0.88819712,0.87432941,0.90574743,0.98657654,0.40774535,0.73052019,0.80868908,0.7815175,0.9241319,0.93891034
80,9.8862659e-06,0.24775189,0.18967051,0.058081382,0.057341925,0.20015732,0.21930706,0.17880055,0.052362899,0.053858361,0.13074037,0.12334969,0.80015723,0.88275162,0.86813958,0.90074668,0.98577326,,,,,,
81,9.8830536e-06,0.24592756,0.18916415,0.056763404,0.052320777,0.19413298,0.21331017,0.17712686,0.048274505,0.051385719,0.13257996,0.12369543,0.80123577,0.87767706,0.8591643,0.90235195,0.98655705,,,,,,
82,9.8797972e-06,0.22796363,0.17264106,0.055322572,0.06199981,0.18854023,0.20711502,0.16741064,0.055360609,0.056518613,0.11488907,0.10796944,0.81638689,0.89574641,0.88107036,0.91282778,0.98429899,,,,,,
83,9.8764967e-06,0.29131545,0.22397022,0.067345235,0.058573764,0.23320799,0.25472266,0.21092889,0.05613046,0.054012985,0.15807054,0.1486625,0.76728618,0.85702595,0.83984515,0.88078467,0.98505368,,,,,,
84,9.8731521e-06,0.2394348,0.18283941,0.056595387,0.056212876,0.19386356,0.21423767,0.17426895,0.052317553,0.050790391,0.12547004,0.11796015,0.80423713,0.88459039,0.86898322,0.90543071,0.98548445,,,,,,
85,9.8697634e-06,0.25833072,0.19851127,0.059819444,0.054140161,0.20701263,0.2258756,0.18639264,0.049820524,0.048285233,0.14004174,0.1315824,0.79330451,0.87488315,0.85770453,0.89771474,0.98646753,,,,,,
86,9.8663308e-06,0.22053698,0.1685164,0.052020577,0.051746912,0.17975333,0.19715361,0.15971805,0.046269961,0.047187974,0.11643002,0.10936605,0.82449224,0.89603961,0.88100916,0.91432196,0.98754836,,,,,,
87,9.8628542e-06,0.2323288,0.17739214,0.054936655,0.056193887,0.19045862,0.20604492,0.16806493,0.049347421,0.05392341,0.12191226,0.11358827,0.81569661,0.88968955,0.87184682,0.91149059,0.98616877,,,,,,
88,9.8593336e-06,0.201121,0.1526797,0.048441302,0.052327997,0.16832456,0.18424216,0.14632505,0.045747327,0.049999249,0.10289829,0.097039295,0.83271571,0.90438901,0.89272572,0.91842209,0.98718495,,,,,,
89,9.8557692e-06,0.23056632,0.17556071,0.055005604,0.058284025,0.18779596,0.20472049,0.16822894,0.05234568,0.055723947,0.11849901,0.11265133,0.81372586,0.89142807,0.87960201,0.90763793,0.98552711,0.47231148,0.72454872,0.80320689,0.7809775,0.9178688,0.92801292
90,9.8521608e-06,0.18743413,0.14197085,0.045463282,0.051493257,0.15631884,0.17354292,0.13645863,0.043236835,0.049905259,0.09498651,0.089400677,0.84602836,0.91338557,0.90121232,0.92727287,0.98780169,,,,,,
91,9.8485087e-06,0.24764975,0.18853752,0.059112231,0.062064873,0.20201491,0.22069351,0.18092096,0.056726509,0.056866333,0.12760999,0.12017161,0.80148369,0.88369266,0.8675539,0.90312623,0.98415583,,,,,,
92,9.8448128e-06,0.2315266,0.17674988,0.054776713,0.054443932,0.18921268,0.20651588,0.16838105,0.048173998,0.050805443,0.1216975,0.11672281,0.81365519,0.8902764,0.88051873,0.90237022,0.98678845,,,,,,
93,9.8410731e-06,0.21720182,0.16423066,0.052971167,0.060201789,0.17998519,0.19809611,0.16004422,0.053645134,0.055264622,0.10875297,0.1018271,0.82158554,0.89899397,0.8832537,0.91737254,0.98493146,,,,,,
94,9.8372897e-06,0.22284769,0.16890514,0.053942547,0.058743847,0.18430297,0.20136264,0.16406067,0.054340132,0.054053037,0.11249607,0.10565527,0.81755258,0.89458793,0.87857343,0.91339665,0.98501595,,,,,,
95,9.8334626e-06,0.23293398,0.17805922,0.054874765,0.052106543,0.19047023,0.20950593,0.1692771,0.04821717,0.050400295,0.12338232,0.11504133,0.80399604,0.88523704,0.86651255,0.90789758,0.98687812,,,,,,
